,Samples,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
97,68840,70.0,45.08,0.59,9.2,14,14,,26.49,68,5.65,0.07,6.27,15.30,00.41,0.11,0.12,0.08,34,680,120,113,,,,,,,,,,,,,3.8,,,,,,,
98,69920,90.0,45.20,0.59,10,19,,,26.20,0.14,5.54,0.07,6.35,15.35,00.53,0.14,0.12,,21,348,130,210,,,,,,,,,,,,,3.6,,,,,,,
99,69940,85.0,44.67,0.63,10.0,,14.2,37.0,26.30,0.13,5.76,0.07,6.35,15.57,00.42,0.14,0.12,,32.1,470.0,,,5.3,,,,,24.0,6.8,1.28,1.41,9.0,,,4.81,0.68,,,,,,
100,69960,92.0,44.76,0.60,11.8,29,,,26.35,0.13,5.76,0.07,6.33,15.55,00.41,0.14,0.12,,47,600,140,135,,,,,,,,,,,,,3.7,,,,,,,
101,70011,54.0,41.03,8.30,53.1,,8.03,23.5,11.98,0.41,16.24,0.23,10.08,11.08,0.31,0.08,0.10,,31.6,,102,,6.5,1.2,,0.24,,,8.0,1.67,1.9,12.5,2.8,,7.04,1.02,,,,,,
102,70160,,40.34,8.99,,,,,11.60,0.46,17.01,0.23,9.79,10.98,0.32,0.08,0.08,0.12,,161,,168,,,,,,,,,,,,,,,,,,,,
103,70180,47.0,40.87,8.11,,,8.09,24.8,12.30,0.44,16.37,0.24,9.82,11.05,0.35,0.08,0.06,0.11,,191,98.3,170,,,,0.28,,,8.05,1.66,,13.2,,,7.02,,,,,,,
104,70250,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,70270,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,70311,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,70320,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,71040,29.0,39.74,9.57,,,,,10.80,0.47,17.73,0.24,9.72,10.72,0.35,0.08,0.07,0.13,,117,,165,,,,,,,,,,,,,,,,,,,,
109,71060,29.0,40.09,9.32,70.3,,,,10.70,0.49,17.85,0.24,9.92,10.59,0.36,0.08,0.07,0.13,26.3,50,,,7.4,1.6,0.6,,,,,,,,,,,,,,,,,
110,71130,33.0,,,,,,,,,,,,,0.,,625,,,,,,,,0.67,0.23,625,,,,,,,,,,,,,,,
111,71150,34.0,,,,,,,,,,,,,0.,,,,,,,,,,0.67,0.23,,,,,,,,,,,,,,,,
112,71500,35.0,39.82,9.52,73.0,,,,11.13,0.46,17.41,0.25,9.51,10.85,0.32,0.07,0.06,0.12,33.1,90,,,7.1,1.9,0.4,,,,,,,,,,,,,,,,,
113,72130,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,72140,81.0,43.11,4.37,,,10.2,28.1,16.10,0.37,13.45,0.19,10.25,11.83,0.40,0.12,0.10,0.09,,271,,156,,,,,,20.7,6.70,1.35,,9.82,,,5.28,,,,,,,
115,72150,82.0,,,44.1,,,,38.,26,,,5.2,1.1,1.,,,,38.8,265,,,5.2,1.1,1.3,,,,,,,,,,,,,,,,,
116,72160,87.0,42.12,5.21,,,9.71,27.0,14.22,0.42,14.86,0.22,10.54,11.17,0.41,0.11,0.08,0.08,,273,,150,,,,0.41,,,6.94,1.42,,10.4,,,5.51,,,,,,,
117,72220,58.0,,,,,,,,,,,,,3.,,,,,,,,,,3.6±.4,0.89±.03,,,,,,,,,,,,,,,,
118,72240,64.0,,,,,,,,,,,,,3.,0.144,,,,,,,,,3.6±.5,0.94±.03,,,,,,,,,,,,,,,,
119,72260,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,72320,73.0,44.91,1.56,18,50,17.1,45,20.57,25,8.65,0.13,9.84,12.82,0.47,0.16,0.15,0.06,30,250,190,155,6.2,0.84,2.9,1.0,,30,8.3,1.31,1.7,11,,,6.1,0.85,,10,,,,
121,72430,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,72440,68.0,45.03,1.55,18,50,17.8,46,20.51,0.22,8.85,0.13,9.89,12.83,0.46,0.17,0.17,0.07,30,270,190,150,6.1,0.86,2.8,1.0,,30,8.3,1.31,1.7,10,,,6.0,0.86,200,9,,,,
123,72460,71.0,44.48,1.50,18,50,17.6,45,20.87,0.21,8.58,0.12,9.69,12.97,0.47,0.17,0.16,0.06,30,230,190,145,6.0,0.80,2.8,1.0,,28,8.2,1.32,1.6,10,,,6.0,0.86,180,12,,,,
124,72500,81.0,45.12,1.56,18,45,18.0,47,20.64,0.23,8.77,0.11,10.08,12.86,0.40,0.16,0.13,0.09,31,250,190,145,6.1,0.84,2.9,1.0,,30,8.2,1.33,1.7,11,,,6.0,0.87,220,8,,,,
125,72700,61.0,45.12,1.56,18,45,18.0,47,20.64,0.23,8.77,0.11,10.08,12.86,0.40,0.16,0.13,0.09,31,250,190,145,6.1,0.84,2.9,1.0,,30,8.2,1.33,1.7,11,,,6.0,0.87,220,8,,,,
126,73120,78.0,45.56,1.39,17,50,15.6,39,21.23,0.26,8.45,0.11,9.73,12.82,0.39,0.17,0.15,0.09,31,280,150,,5.0,0.78,2.4,0.7,,27,7.2,1.20,1.4,10,,,5.3,0.77,200,11,,,,
127,73130,16.0,,,15,,,,11,,,,,,2.,0.1397,,,119,,,,,,2.24,0.63,,,,,,,,,,,,,,,,
128,73140,48.0,45.12,1.56,18,45,18.0,47,20.64,0.23,8.77,0.11,10.08,12.86,0.40,0.16,0.13,0.09,31,250,190,145,6.1,0.84,2.9,1.0,,30,8.2,1.33,1.7,11,,,6.0,0.87,220,8,,,,
129,73150,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
