,Samples,x,y,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
113,74220,"928805,980360179","612920,140711061",1.0,38.57,8.81,,,6.25,19.0,6.32,0.75,22.04,0.3,14.44,7.68,0.36,0.09,0.04,0.07,,83.0,76.4,209.0,,,,0.16,,17.8,6.53,1.80,,9.40,,,4.43,0.61,,,,,,
114,74240,"928805,980360179","612920,140711061",5.1,40.78,8.61,,,9.95,28.8,12.54,0.41,15.84,0.24,9.15,11.36,0.38,0.12,0.09,0.14,,80.0,112.0,163.0,,,,0.37,,24.0,8.55,1.60,,13.7,,,7.45,,,,,,,
115,74260,"928805,980360179","612920,140711061",5.0,41.22,7.68,56.3,,,,13.25,0.41,15.31,0.23,9.47,11.37,0.38,0.12,0.09,0.12,49.2,160.0,,,6.7,1.1,0.7,,,,,,,,,,,,,,,,,
116,75060,"931811,688160179","612008,907811061",33.0,39.32,10.31,,,7.07,23.6,10.42,0.48,18.19,0.25,9.53,10.72,0.33,0.08,0.06,0.13,,115.0,89.5,166.0,,,,0.21,,23.1,9.09,1.77,,15.5,,,8.36,,,,,,,
117,75080,"931809,432160179","612006,651911061",40.0,40.27,9.41,61.0,100.0,7.2,30,11.31,0.46,17.2,0.25,9.59,10.97,0.33,0.08,0.07,0.12,27.0,100.0,100.0,160.0,7.0,1.3,0.6,,,25,7.6,1.70,2.0,12,,,7.3,1.0,230.0,5.0,,,,
118,75110,"930173,599760179","612974,306911061",54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,75120,"930813,720560179","612654,647211061",67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,76120,"933380,340460179","613586,540011061",71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,76130,"933577,975060179","614983,780811061",70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,76220,"933905,541960178","615144,197611061",66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,76240,"933908,684660179","615126,463611061",56.0,,3.31,31.0,,,34,17.85,,10.92,0.16,11.05,11.97,0.43,0.12,0.09,0.07,37.0,,,,6.7,0.88,2.7,,,,,1.6,1.8,,,,4.8,,,,,,,
124,76260,"933908,684560179","615126,463811061",58.0,43.64,3.38,30.0,,,,17.96,0.28,10.93,0.16,10.75,12.11,0.43,0.12,0.11,0.07,32.0,,,,5.6,,,,,,,1.5,,,,,,,,,,,,
125,76280,"933908,684560179","615126,463811061",45.0,,3.83,,,,,17.8,0.29,11.26,0.16,10.55,12.18,0.43,0.11,0.09,0.07,,169.0,,150.0,,,,,,,,,,,,,,,,,,,,
126,76320,"933916,317060179","615142,514011061",93.0,44.08,3.0,,,,,18.41,0.26,10.53,0.15,10.82,12.23,0.46,0.13,0.09,0.07,,210.0,,151.0,,,,,,,,,,,,,,,,,,,,
127,76500,"933884,777460179","615132,749111061",58.0,43.41,3.15,,,8.95,24.3,18.63,0.26,10.32,0.14,11.08,12.28,0.35,0.1,0.08,,,203.0,,151.0,,,,0.44,,17.4,5.55,1.25,,8.18,,,4.53,,,,,,,
128,77510,"934369,615660179","615186,239511061",80.0,,,,,,,,23.0,,15.0,,,,,,,,231.0,,153.0,,,,,,,,,,,,,,,,,,,,
129,77530,"934369,615260179","615186,239111061",79.0,43.07,3.91,,,9.96,26.7,17.16,0.3,11.7,0.17,10.19,11.93,0.44,0.11,0.08,0.08,,,123.0,155.0,,,,,,19.4,6.47,1.35,,9.55,,,5.26,,,,,,,
130,78120,"936101,886860179","614752,053611061",68.0,,,,,,25.2,1.0,,113.0,15.0,9.0,,,,0.8,,,,113.0,154.0,,,,,,19.2,6.26,1.39,,9.84,,,5.27,0.830,,,,,,
131,78220,"936175,896460179","614892,176111061",93.0,,3.84,,68.0,,,17.13,0.32,11.68,0.15,10.55,11.79,0.37,0.092,0.08,0.08,34.0,221.0,109.0,147.0,,,,,,,,,,,,,,,,,,,,
132,78230,"936174,306560179","614890,434711061",81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,78250,"936174,306260179","614890,435211061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,78420,"936130,167860179","614863,633511061",,,2.3,37.0,,,25,9.2,,9.5,0.12,7.1,8.4,0.32,,4.0,42.0,36.0,,,,5.1,0.79,1.3,,,,1.4,,1.6,,,,5.4,,,,,,,
135,78440,"936130,168560179","614863,633311061",77.0,,1.9,,,24.2,18.6,9.1,,9.6,0.13,6.6,7.9,0.36,,0.8,42.0,,,113.0,149.0,,,,,,6.08,1.35,,9.18,,,,5.17,0.806,,,,42.0,,
136,78460,"936130,168560179","614863,633311061",83.0,,2.1,,,,23.2,8.5,,10.0,0.12,6.7,7.9,0.3,,0.7,41.0,,,109.0,149.0,,,,,,17.6,5.88,1.31,,8.88,,,4.88,0.78,,,,41.9,,
137,78480,"936130,168560179","614863,633311061",,,1.8,36.0,,,24,9.0,,9.3,0.12,6.8,7.6,0.29,,4.0,41.0,38.0,,,,5.6,0.68,1.6,,,,,1.4,1.7,,,,5.3,,,,,41.9,,
138,78500,"936116,464360179","614887,179211061",36.0,,5.47,,,8.29,23.3,15.73,0.37,13.15,0.18,9.91,11.77,0.35,0.09,0.05,0.1,,194.0,,154.0,,,,0.36,,18.4,6.36,1.37,,10.2,,,5.54,,,,,,,
139,79120,"934845,732160179","613548,934711061",57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,79220,"934865,653860179","613486,046911061",81.0,41.67,6.52,,,7.46,25.6,13.57,0.42,15.37,0.21,10.22,11.18,0.34,0.09,0.06,0.12,,,,,,,,,,,6.90,1.44,1.78,,,,6.70,0.94,,,,,,
141,79240,"934865,653460179","613486,046811061",51.0,41.73,6.79,56.0,81.0,10,,13.9,0.46,15.64,0.2,9.9,11.08,0.39,0.9,0.89,,,275.0,117.0,147.0,,,,,,,,,,,,,6.4,,,,,,,
142,79260,"934865,653460179","613486,046811061",43.0,42.26,6.09,,,8.31,22.2,14.43,0.4,14.6,0.2,9.82,11.48,0.35,0.11,0.07,0.12,,177.0,,154.0,,,,0.32,,17.8,6.18,1.39,,10.0,,,5.53,0.71,,,,,,
143,79510,"934845,732160179","613548,934711061",61.0,41.69,6.13,50.0,85.0,8.7,29,13.79,0.43,15.11,0.27,10.31,10.73,0.2,0.18,0.06,,37.0,170.0,100.0,,5.6,0.99,,,,21,7.3,1.52,65,10,,,5.7,0.86,150.0,8.0,,,,
